Вокальные предсказания
"Ты наткнёшься на себя в TikTok, и поймёшь, что умеешь рэп. Почти."
"Ты станешь легендой, и попадёшь не в ту тональность — дважды."
"Ты станешь легендой, и бот скажет, что ты — топ."
"Ты выйдешь из ритма, но фоновый шум от чайника всё испортит."
"Ты создашь мем, и он случайно станет хитом в Индонезии."
"Ты перепоёшь оригинал, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты испугаешься собственного вокала, и получишь комментарий: «Ты шикарен, как всегда!» от мамы."
"Ты споешь дуэт, но забудешь сохранить запись."
"Ты станешь легендой, и окажешься в рекомендациях у самого себя."
"Ты попадёшь в тир-лист, и это увидит твой бывший. И лайкнет."
"Ты случайно нажмёшь «удалить», и попадёшь не в ту тональность — дважды."
"Ты попадёшь на главную, и получишь приглашение в виртуальный дуэт от Геральта."
"Ты услышишь себя в рекламе, и получишь комментарий: «Ты шикарен, как всегда!» от мамы."
"Ты обидишь вокалиста, и все подумают, что ты профессионал. Даже ты."
"Ты споешь дуэт, и окажешься в рекомендациях у самого себя."
"Ты создашь мем, и окажешься в рекомендациях у самого себя."
"Ты споешь дуэт, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты найдёшь соулмейта, и забудешь слова прямо в куплете."
"Ты сделаешь ремикс, и тебя будут слушать даже в метро... без наушников."
"Ты выйдешь из ритма, и это будет твоим лучшим треком... по мнению алгоритма."
"Ты присоединишься к незнакомцу, и это будет твоим лучшим треком... по мнению алгоритма."
"Ты запишешь кавер, но тебя перебьёт кот в соседней комнате."
"Ты запишешь кавер, и бот скажет, что ты — топ."
"Ты перепоёшь оригинал, и подумаешь: «Я был не так уж плох»."
"Ты создашь мем, и один лайк поставит человек с ником 'vampir228'."
"Ты обидишь вокалиста, и бот скажет, что ты — топ."
"Ты создашь мем, и получишь приглашение в виртуальный дуэт от Геральта."
"Ты присоединишься к незнакомцу, и поймёшь, что умеешь рэп. Почти."
"Ты услышишь себя в рекламе, и подумаешь: «Я был не так уж плох»."
"Ты поругаешься с дуэт-партнёром, и окажешься в рекомендациях у самого себя."
"Ты испугаешься собственного вокала, и попадёшь не в ту тональность — дважды."
"Ты испугаешься собственного вокала, и окажешься в рекомендациях у самого себя."
"Ты присоединишься к незнакомцу, и окажешься в рекомендациях у самого себя."
"Ты станешь легендой, и получишь комментарий: «Ты шикарен, как всегда!» от мамы."
"Ты услышишь свой фальш впервые, но фоновый шум от чайника всё испортит."
"Ты найдёшь соулмейта, и забудешь, что микрофон был отключён."
"Ты испугаешься собственного вокала, и поймёшь, что умеешь рэп. Почти."
"Ты споешь дуэт, но потом перезапишешь ещё 8 раз."
"Ты испугаешься собственного вокала, и бот скажет, что ты — топ."
"Ты найдёшь соулмейта, и он случайно станет хитом в Индонезии."
"Ты сделаешь ремикс, и получишь приглашение в виртуальный дуэт от Геральта."
"Ты забудешь включить микрофон, но забудешь сохранить запись."
"Ты испугаешься собственного вокала, и забудешь, что микрофон был отключён."
"Ты услышишь себя в рекламе, и забудешь, что микрофон был отключён."
"Ты найдёшь соулмейта, но тебя перебьёт кот в соседней комнате."
"Ты забудешь текст, и это увидит твой бывший. И лайкнет."
"Ты услышишь себя в рекламе, и забудешь слова прямо в куплете."
"Ты споешь дуэт, и получишь комментарий: «Ты шикарен, как всегда!» от мамы."
"Ты запишешь кавер, и один лайк поставит человек с ником 'vampir228'."
"Ты случайно нажмёшь «удалить», и один лайк поставит человек с ником 'vampir228'."
"Ты создашь мем, и попадёшь не в ту тональность — дважды."
"Ты забудешь включить микрофон, и тебя будут слушать даже в метро... без наушников."
"Ты забудешь текст, и поймёшь, что умеешь рэп. Почти."
"Ты забудешь текст, и получишь приглашение в виртуальный дуэт от Геральта."
"Ты поругаешься с дуэт-партнёром, который наберёт 100 прослушиваний, но никто не поставит лайк."
"Ты попадёшь на главную, и бот скажет, что ты — топ."
